threshold,overall_dice,overall_iou,lesion_dice,lesion_iou,normal_false_positive_rate,normal_mean_pred_area,selection_score
0.1,0.5630243128096182,0.45885630144051404,0.67911179079722,0.5534658389396409,1.0,3497.1,0.42911179079721995
0.15000000000000002,0.6170434693880411,0.5191645290004997,0.7030318105998755,0.5849716453901606,0.8,2072.05,0.5030318105998755
0.20000000000000004,0.6302731233533388,0.5356226611313158,0.7086799513091425,0.5945139298660841,0.75,1610.35,0.5211799513091425
0.25000000000000006,0.6420775430923009,0.5491373876596537,0.7126089943529398,0.6005059202743861,0.7,1391.4,0.5376089943529399
0.30000000000000004,0.6449723576813807,0.5534743057421988,0.7161006756813799,0.6057370460227791,0.7,1245.0,0.5411006756813799
0.3500000000000001,0.6642487081168745,0.5739031347799379,0.7187329769053866,0.6097594503031022,0.6,1128.85,0.5687329769053866
0.40000000000000013,0.6659110908521899,0.5767328834817355,0.7207381161968125,0.6131726495747178,0.6,1030.85,0.5707381161968125
0.45000000000000007,0.6847857667941004,0.5972519473287994,0.7228859247315821,0.61730389506725,0.5,923.5,0.5978859247315821
0.5000000000000001,0.6856723601596544,0.5997475461581645,0.7239553208130547,0.6203140503164122,0.5,822.65,0.5989553208130547
0.5500000000000002,0.686244801693053,0.6019212905286405,0.7246457914644263,0.6229359893382792,0.5,722.8,0.5996457914644263
0.6000000000000002,0.6857782212946598,0.602862107706879,0.7240830087867566,0.6240707893045878,0.5,617.55,0.5990830087867566
0.6500000000000001,0.6842100360582527,0.602714908385748,0.7221914860129433,0.6238932392327057,0.5,520.8,0.5971914860129433
0.7000000000000002,0.6816303071840968,0.6015108473201376,0.7190798521136474,0.6224409159890782,0.5,429.35,0.5940798521136474
0.7500000000000002,0.7034043546088375,0.6246031106055572,0.7144155613849709,0.6193666382057564,0.35,339.45,0.6269155613849708
0.8000000000000002,0.6977662007942964,0.620755746072866,0.7076149013584523,0.614726002364562,0.35,242.1,0.6201149013584523
0.8500000000000002,0.6986224250349671,0.6237332822045646,0.6983383878491023,0.6080081846412974,0.3,170.3,0.6233383878491023
0.9000000000000002,0.6974890718643731,0.6242836025449195,0.6866620624153786,0.5983626818960377,0.25,123.65,0.6241620624153786
